Shortest path
Vertex		Distance from Source
7.31.86.36		552
7.38.213.124		408
7.44.173.151		534
7.53.48.150		311
7.53.62.50		256
7.54.81.107		267
7.55.47.25		433
7.65.165.97		412
7.65.171.54		378
7.80.161.45		283
7.83.245.75		456
7.84.5.211		549
7.87.10.234		463
7.89.216.132		360
7.89.238.162		383
7.90.35.25		373
7.96.239.134		317
7.99.68.28		170
7.101.94.230		330
7.102.63.240		453
7.102.88.107		417
7.110.239.196		271
7.110.239.215		481
7.122.134.186		330
7.126.247.124		458
7.131.11.43		291
7.131.161.37		389
7.133.122.133		406
7.137.44.113		149
7.140.209.230		267
7.140.237.119		372
7.146.134.232		305
7.149.172.97		314
7.150.125.118		412
7.155.180.19		491
7.158.211.206		223
7.162.148.214		283
7.162.159.56		346
7.171.179.62		517
7.171.199.66		285
7.181.15.206		339
7.185.199.134		402
7.193.196.45		312
7.194.173.73		384
7.195.29.193		367
7.196.214.75		416
7.197.247.135		456
7.203.76.215		438
7.205.232.114		306
7.207.221.9		486
7.210.236.9		418
7.211.107.214		416
7.214.72.175		313
7.219.246.201		439
7.224.126.172		280
7.227.57.88		400
7.230.189.78		354
7.233.125.130		367
7.235.121.84		379
7.248.131.116		231
7.250.146.121		310
7.252.200.171		293
8.6.131.70		319
8.8.178.125		431
8.20.254.211		226
8.21.48.220		187
8.29.78.177		329
8.52.84.10		373
8.54.83.172		405
8.56.125.160		497
8.68.218.77		160
8.72.206.236		316
8.78.242.242		321
8.79.11.131		401
8.81.1.51		373
8.81.185.92		391
8.83.251.225		342
8.90.170.47		272
8.93.165.120		362
8.96.14.175		422
8.103.230.129		382
8.104.227.126		282
8.106.149.51		259
8.112.52.181		301
8.112.229.148		347
8.113.230.41		244
8.115.175.217		305
8.117.167.78		402
8.117.245.11		409
8.121.254.49		380
8.126.149.23		409
8.130.50.48		295
8.133.132.240		413
8.134.22.108		286
8.136.34.161		231
8.138.212.64		408
8.146.43.170		318
8.147.73.95		290
8.150.143.141		388
8.151.86.53		254
8.156.153.187		247
8.158.22.166		496
8.161.158.229		343
8.166.218.117		365
8.171.7.27		227
8.179.73.99		480
8.181.138.198		295
8.182.192.242		398
8.190.139.2		345
8.194.249.193		503
8.195.192.175		373
8.209.48.195		316
8.212.205.31		293
8.216.49.213		441
8.217.214.74		186
8.221.142.240		264
8.222.236.71		432
8.224.193.157		375
8.227.80.50		323
8.228.209.145		272
8.234.144.193		388
8.240.123.193		232
8.241.158.182		537
8.251.229.219		292
8.254.205.149		505
9.9.117.244		194
9.12.165.80		301
9.21.2.168		295
9.25.13.5		317
9.41.16.68		464
9.42.194.247		405
9.47.246.182		398
9.49.20.212		439
9.53.151.27		244
9.64.199.244		190
9.66.187.43		371
9.69.10.86		378
9.70.23.38		481
9.73.185.168		343
9.75.109.210		274
9.77.45.129		361
9.84.107.252		334
9.84.154.97		236
9.86.130.109		357
9.99.150.121		337
9.105.64.132		483
9.105.88.249		325
9.108.178.111		287
9.118.35.35		277
9.123.2.145		408
9.124.14.142		308
9.133.23.42		570
9.140.40.140		389
9.142.169.132		286
9.144.61.232		290
9.147.49.225		249
9.147.126.123		240
9.161.145.106		263
9.163.27.154		344
9.167.178.55		443
9.171.73.51		229
9.175.85.76		429
9.182.243.148		260
9.185.194.62		321
9.191.250.103		357
9.199.104.42		496
9.200.198.223		327
9.200.221.54		324
9.208.112.92		419
9.211.84.144		436
9.221.74.189		197
9.228.204.147		336
9.231.25.225		200
9.231.156.118		216
9.240.17.115		277
9.244.182.66		230
9.246.141.146		382
9.253.242.108		491
9.254.66.229		409
10.9.47.176		269
10.10.21.116		423
10.27.28.185		305
10.33.81.177		440
10.34.33.134		452
10.44.83.100		258
10.45.34.23		254
10.45.120.3		305
10.56.54.35		331
10.56.193.210		257
10.64.248.20		315
10.70.188.197		320
10.74.101.28		395
10.80.59.30		524
10.81.78.28		290
10.86.206.167		411
10.89.145.127		340
10.93.107.111		599
10.95.92.76		318
10.95.217.184		363
10.99.40.17		378
10.99.219.14		308
10.110.118.62		364
10.111.40.115		342
10.114.14.226		392
10.116.14.17		615
10.117.83.79		314
10.118.211.72		285
10.120.61.17		400
10.125.139.186		231
10.133.211.143		544
10.133.245.228		209
10.139.77.32		246
10.140.149.34		366
10.146.199.202		408
10.150.103.163		570
10.153.140.249		390
10.153.241.53		460
10.155.24.11		330
10.158.65.56		558
10.164.200.86		379
10.164.253.210		525
10.165.174.170		278
10.170.120.194		293
10.178.113.183		357
10.178.236.206		365
10.181.132.235		338
10.182.247.176		360
10.187.47.209		315
10.189.121.253		376
10.197.5.132		262
10.198.122.102		317
10.205.14.230		336
10.211.55.84		350
10.212.32.215		355
10.217.71.102		310
10.218.177.57		354
10.230.234.169		460
10.238.109.132		361
10.239.195.39		259
10.247.142.96		344
10.253.98.8		409
11.6.69.13		356
11.16.219.40		285
11.17.141.100		294
11.30.236.167		337
11.42.94.110		434
11.45.106.166		280
11.46.100.224		389
11.57.29.96		357
11.59.87.42		334
11.59.171.27		324
11.60.164.183		436
11.61.24.10		351
11.65.103.18		383
11.68.218.39		276
11.69.94.47		366
11.78.33.227		219
11.79.168.10		268
11.84.233.253		334
11.98.158.80		369
11.102.252.152		376
11.104.241.125		300
11.105.45.36		431
11.106.213.233		306
11.110.97.148		373
11.115.153.192		228
11.116.109.207		401
11.120.45.138		374
11.122.39.77		324
11.129.97.87		242
11.142.173.67		406
11.143.235.221		383
11.146.182.179		323
11.160.195.201		332
11.161.43.17		237
11.161.203.31		420
11.162.128.164		296
11.162.245.199		173
11.165.115.211		283
11.166.103.152		131
11.177.217.144		529
11.181.32.42		356
11.183.12.115		307
11.184.204.53		370
11.186.100.43		199
11.190.136.246		393
11.199.20.13		357
11.206.200.8		451
11.208.126.106		259
11.221.22.211		357
11.228.204.188		372
11.234.17.101		79
11.234.221.82		199
11.243.16.249		442
11.247.10.178		340
11.248.110.105		349
12.6.26.120		316
12.10.108.74		341
12.10.215.124		374
12.12.202.218		322
12.20.89.73		313
12.20.174.168		348
12.33.141.134		422
12.34.174.43		404
12.35.157.60		376
12.36.201.60		509
12.43.210.37		325
12.49.83.226		304
12.51.68.46		238
12.64.162.188		297
12.74.117.213		321
12.76.218.162		266
12.79.231.201		357
12.86.2.210		232
12.87.232.236		400
12.89.186.201		332
12.93.226.71		361
12.100.167.220		361
12.104.13.124		440
12.105.222.163		429
12.106.221.212		323
12.109.25.249		422
12.140.247.40		400
12.151.44.60		310
12.151.61.117		382
12.162.107.247		366
12.173.249.95		540
12.177.242.177		360
12.180.247.198		384
12.183.20.212		604
12.183.116.214		583
12.186.201.252		363
12.187.254.70		660
12.188.168.7		531
12.194.4.4		281
12.200.37.31		574
12.207.97.106		419
12.207.132.200		421
12.214.62.49		274
12.221.245.103		288
12.223.76.120		359
12.230.58.14		347
13.1.153.24		297
13.3.16.144		410
13.12.134.181		187
13.15.22.100		413
13.20.87.156		284
13.21.133.9		418
13.30.192.242		249
13.36.108.43		369
13.37.228.79		345
13.40.203.116		243
13.41.167.254		239
13.43.144.63		303
13.54.132.51		314
13.60.65.222		349
13.70.111.81		497
13.70.220.209		202
13.73.32.19		354
13.75.65.3		330
13.75.77.113		260
13.81.124.249		610
13.82.147.13		317
13.86.215.136		254
13.92.132.234		294
13.93.193.234		295
13.97.2.178		351
13.97.154.214		407
13.100.142.184		357
13.115.34.26		590
13.115.106.78		380
13.120.44.206		366
13.138.208.51		467
13.145.32.251		307
13.148.73.252		308
13.149.155.234		386
13.155.175.64		448
13.160.236.209		407
13.161.204.128		364
13.162.254.12		353
13.163.82.245		374
13.163.109.29		465
13.164.167.125		322
13.164.240.77		189
13.169.56.87		345
13.170.69.60		475
13.172.200.60		271
13.184.222.42		383
13.185.242.178		311
13.194.22.152		382
13.196.98.44		259
13.198.145.144		380
13.202.36.200		335
13.206.248.137		333
13.217.21.181		313
13.221.253.243		384
13.227.97.74		518
13.233.67.194		225
13.233.112.177		260
13.244.16.185		369
13.247.71.123		335
14.2.20.138		335
14.12.98.60		420
14.19.43.106		82
14.21.148.26		327
14.23.187.208		443
14.26.181.148		503
14.27.48.1		328
14.34.135.22		340
14.35.7.157		563
14.50.73.175		331
14.53.135.183		395
14.53.156.90		155
14.57.212.145		292
14.59.113.215		321
14.59.189.39		409
14.62.235.241		463
14.68.172.88		320
14.70.119.159		376
14.92.50.84		300
14.106.93.3		383
14.108.216.206		371
14.110.135.212		320
14.114.190.225		247
14.130.95.249		386
14.135.86.175		423
14.135.191.59		486
14.136.52.200		367
14.142.238.65		435
14.143.115.162		311
14.165.136.167		598
14.169.5.181		555
14.178.214.117		431
14.188.174.88		378
14.191.8.239		215
14.193.52.15		414
14.195.85.59		260
14.195.135.9		402
14.201.35.217		210
14.203.3.94		281
14.208.149.204		397
14.209.120.142		405
14.222.16.62		331
14.231.61.120		393
14.236.43.32		393
14.244.91.57		281
14.246.50.73		384
14.250.172.242		320
14.251.160.134		387
15.15.169.106		304
15.18.246.166		195
15.32.115.229		315
15.33.171.67		473
15.36.49.83		474
15.46.28.47		226
15.47.246.90		257
15.48.179.211		407
15.50.142.99		309
15.50.230.56		410
15.61.171.101		360
15.64.111.88		315
15.66.91.222		134
15.72.230.165		305
15.81.71.73		431
15.82.104.90		414
15.84.158.24		234
15.87.242.138		321
15.98.148.107		270
15.99.51.230		402
15.99.230.176		434
15.105.156.90		321
15.113.152.9		353
15.113.211.66		256
15.122.88.174		369
15.126.148.175		281
15.129.56.86		618
15.131.167.110		408
15.133.168.145		325
15.133.240.231		428
15.137.189.250		355
15.138.21.104		386
15.138.87.16		531
15.141.37.181		221
15.143.68.70		311
15.145.33.78		488
15.147.208.132		351
15.148.114.189		261
15.148.148.234		431
15.150.84.239		247
15.156.53.208		398
15.159.176.77		622
15.174.107.28		301
15.177.187.190		341
15.184.92.201		459
15.186.126.66		304
15.187.46.101		186
15.190.52.88		237
15.203.155.221		282
15.206.179.75		309
15.210.47.91		403
15.214.176.209		360
15.223.33.46		318
15.223.154.58		319
15.228.128.99		253
15.232.172.195		484
15.239.50.97		473
15.248.120.17		231
15.252.58.182		398
16.6.170.243		217
16.13.141.120		402
16.18.18.213		341
16.21.136.141		356
16.26.101.10		253
16.27.178.244		508
16.39.1.125		303
16.39.58.131		432
16.49.96.102		299
16.51.167.104		370
16.52.46.230		230
16.54.245.71		380
16.57.208.207		492
16.60.29.191		332
16.61.173.62		440
16.62.90.67		368
16.65.174.199		284
16.67.24.121		419
16.72.132.202		394
16.73.21.233		515
16.81.14.2		507
16.87.182.160		338
16.88.119.99		216
16.90.149.72		353
16.101.4.129		522
16.110.85.221		399
16.111.251.182		492
16.113.206.211		292
16.114.244.251		396
16.118.24.176		294
16.123.107.71		431
16.128.113.110		501
16.128.168.46		238
16.136.133.194		279
16.136.175.203		383
16.143.95.233		384
16.143.180.78		275
16.151.50.135		355
16.157.189.188		460
16.160.31.196		428
16.162.74.121		483
16.168.164.52		372
16.168.192.219		428
16.173.249.120		336
16.174.99.85		349
16.175.128.142		427
16.188.160.183		331
16.189.19.72		369
16.192.146.113		375
16.210.141.193		300
16.211.189.212		400
16.219.145.104		302
16.225.247.85		335
16.233.163.206		467
16.234.78.156		367
16.236.31.51		286
16.242.44.136		166
16.250.142.180		576
17.4.54.44		256
17.11.156.220		400
17.12.243.204		236
17.13.100.76		439
17.28.192.161		332
17.30.26.16		266
17.34.237.173		301
17.35.40.189		339
17.39.101.89		365
17.40.56.99		294
17.42.236.107		304
17.55.38.186		135
17.55.112.35		426
17.63.108.223		280
17.70.120.209		359
17.76.152.76		755
17.86.34.174		254
17.95.214.202		382
17.102.123.120		347
17.110.164.189		373
17.113.63.89		348
17.115.99.31		237
17.126.203.224		405
17.127.113.70		353
17.133.225.196		343
17.134.90.93		435
17.135.167.155		421
17.137.68.70		346
17.146.77.17		437
17.146.245.221		345
17.151.212.158		308
17.152.63.8		300
17.153.31.181		401
17.185.210.181		441
17.186.4.72		350
17.193.99.143		332
17.208.45.213		368
17.210.90.53		344
17.213.205.41		300
17.216.37.157		303
17.227.141.128		307
17.229.71.225		390
17.239.175.159		342
17.239.229.134		409
18.11.246.59		482
18.13.91.68		298
18.15.18.26		520
18.19.11.164		258
18.20.148.122		377
18.35.69.177		319
18.42.240.234		174
18.54.188.215		376
18.60.217.1		152
18.67.76.96		484
18.72.142.13		426
18.75.169.28		536
18.79.191.101		363
18.80.188.123		393
18.81.232.155		536
18.87.6.180		333
18.101.249.253		544
18.116.142.147		340
18.120.214.31		445
18.122.213.245		416
18.123.141.254		272
18.124.218.100		514
18.133.123.24		329
18.137.172.214		359
18.155.168.88		373
18.157.38.106		416
18.161.8.219		229
18.172.241.48		271
18.176.73.153		500
18.194.158.148		408
18.196.142.104		318
18.202.194.152		258
18.207.77.148		238
18.214.204.34		393
18.219.196.221		374
18.228.232.15		370
18.231.35.63		379
18.241.160.92		303
18.242.190.163		349
18.244.62.33		352
18.244.167.74		341
18.248.4.213		282
18.250.172.221		313
18.251.235.216		481
18.254.38.166		386
18.254.189.50		299
19.11.194.246		429
19.23.94.206		233
19.49.49.26		213
19.67.11.64		306
19.72.92.131		246
19.72.155.138		276
19.72.226.178		76
19.83.235.205		359
19.85.123.182		322
19.87.36.142		311
19.100.193.206		247
19.102.33.165		384
19.103.119.48		354
19.103.222.204		519
19.104.102.75		409
19.105.189.79		466
19.109.207.44		345
19.114.132.32		332
19.122.3.161		268
19.132.172.124		305
19.155.170.29		322
19.159.8.164		346
19.159.11.66		348
19.159.135.108		250
19.169.115.12		394
19.174.247.163		341
19.183.237.65		470
19.185.2.237		413
19.202.139.148		311
19.205.161.46		411
19.208.107.241		267
19.211.67.249		367
19.213.54.150		339
19.214.223.38		409
19.215.101.141		339
19.225.175.146		277
19.230.235.33		583
19.232.85.10		243
19.234.88.86		394
19.235.151.23		371
19.238.48.95		293
19.243.45.170		395
19.248.209.5		346
19.254.124.51		231
20.6.113.44		429
20.14.10.26		356
20.16.189.173		360
20.21.122.101		488
20.21.130.136		380
20.29.57.172		345
20.34.21.58		358
20.39.154.63		176
20.46.19.23		268
20.56.121.199		411
20.62.118.152		394
20.66.51.230		239
20.71.179.220		443
20.77.219.46		487
20.79.35.178		250
20.81.157.231		430
20.84.134.101		226
20.85.161.49		304
20.92.170.161		299
20.97.232.115		473
20.100.38.233		381
20.101.92.140		449
20.101.138.198		313
20.105.57.216		282
20.111.66.76		384
20.114.231.62		446
20.115.109.246		327
20.116.33.50		348
20.126.26.75		437
20.126.128.84		434
20.127.101.151		511
20.128.167.128		293
20.139.163.65		259
20.143.191.23		340
20.151.22.130		312
20.153.137.11		299
20.155.103.218		175
20.158.167.75		473
20.160.251.250		341
20.162.151.46		521
20.162.238.160		350
20.169.171.199		212
20.170.10.37		404
20.179.164.36		403
20.181.159.17		217
20.184.159.157		301
20.193.216.161		407
20.197.78.29		274
20.197.161.246		334
20.197.242.29		212
20.201.36.98		295
20.208.12.251		337
20.208.45.213		233
20.209.166.140		302
20.215.43.81		288
20.224.79.201		226
20.229.13.39		346
20.235.95.37		326
20.242.129.33		535
20.250.111.215		381
21.6.49.239		365
21.9.240.243		450
21.20.235.190		429
21.29.110.147		180
21.46.43.181		377
21.47.232.237		389
21.49.74.220		406
21.49.237.212		317
21.54.63.166		374
21.59.64.33		308
21.64.233.57		318
21.67.202.105		434
21.70.144.10		355
21.74.231.164		342
21.75.81.129		293
21.79.195.62		276
21.88.189.224		448
21.89.230.187		304
21.91.151.96		516
21.92.7.94		293
21.95.43.240		345
21.99.62.102		462
21.101.213.223		341
21.107.20.33		366
21.113.14.152		371
21.118.83.228		438
21.124.60.162		302
21.126.58.166		486
21.137.197.33		536
21.141.149.111		504
21.142.218.123		345
21.148.163.90		282
21.154.27.133		317
21.158.243.2		305
21.170.206.84		540
21.173.97.179		301
21.190.42.65		347
21.200.104.112		242
21.208.81.243		348
21.219.195.205		399
21.224.233.147		371
21.231.227.132		327
21.234.247.144		257
21.246.104.111		318
21.247.183.33		435
21.253.231.174		323
22.7.86.253		389
22.15.85.210		439
22.20.29.13		299
22.20.206.84		334
22.30.113.217		281
22.35.122.219		294
22.42.73.127		484
22.48.25.35		215
22.53.170.192		283
22.57.152.196		361
22.67.238.85		347
22.70.122.35		345
22.84.113.148		418
22.86.10.29		276
22.90.21.157		295
22.91.74.227		214
22.94.137.161		338
22.94.219.180		234
22.94.234.123		342
22.101.75.95		490
22.109.15.199		337
22.111.221.253		358
22.133.246.211		425
22.143.42.140		407
22.145.187.127		334
22.149.182.127		331
22.162.79.52		167
22.167.126.8		410
22.176.194.85		350
22.181.152.1		293
22.195.104.14		569
22.200.131.143		389
22.205.146.135		238
22.212.237.161		564
22.221.10.189		402
22.222.70.17		304
22.226.178.240		361
22.230.212.124		559
22.246.129.172		228
23.8.112.133		228
23.13.148.178		454
23.14.152.26		444
23.16.163.202		366
23.17.13.114		316
23.28.224.68		378
23.29.53.185		227
23.32.224.102		330
23.38.78.100		401
23.48.5.97		239
23.59.72.2		324
23.60.67.253		222
23.71.91.232		310
23.72.40.78		554
23.78.127.39		408
23.78.135.4		297
23.80.46.128		323
23.87.109.225		348
23.90.224.62		407
23.100.49.218		454
23.100.117.120		374
23.114.140.165		316
23.122.220.27		330
23.129.77.249		386
23.131.113.196		270
23.133.33.83		372
23.133.84.10		356
23.137.237.58		411
23.151.29.236		185
23.151.181.10		360
23.153.182.189		354
23.170.131.117		435
23.172.29.37		360
23.180.205.205		419
23.181.29.25		307
23.186.77.65		218
23.198.219.242		267
23.217.8.201		450
23.218.73.243		401
23.220.169.111		422
23.223.8.68		305
23.230.172.172		358
23.240.179.113		467
23.243.45.182		312
23.245.108.153		341
23.251.215.50		393
24.3.146.4		310
24.3.176.69		385
24.18.115.185		465
24.27.215.152		318
24.29.253.43		378
24.30.40.174		354
24.36.164.216		357
24.43.137.71		425
24.43.209.95		292
24.51.31.170		247
24.56.245.179		320
24.61.155.61		462
24.66.240.226		437
24.67.61.25		355
24.69.114.135		616
24.71.30.100		282
24.74.56.74		558
24.76.13.189		430
24.79.192.244		306
24.83.152.164		344
24.90.18.114		361
24.94.3.110		419
24.96.145.188		395
24.106.169.153		442
24.108.62.248		392
24.108.77.19		246
24.121.95.12		233
24.121.209.237		580
24.125.200.129		357
24.132.99.60		353
24.132.152.209		203
24.135.209.48		451
24.136.185.49		449
24.143.130.72		353
24.146.82.48		345
24.153.8.247		594
24.157.19.121		539
24.159.38.144		327
24.160.185.183		337
24.161.150.196		412
24.167.80.28		423
24.169.7.198		418
24.172.212.216		439
24.179.53.158		206
24.191.73.226		411
24.193.38.92		357
24.194.17.81		364
24.195.176.227		499
24.196.234.133		587
24.197.254.60		340
24.203.121.239		260
24.205.26.218		325
24.215.108.73		408
24.217.147.186		312
24.220.166.184		367
24.222.175.248		510
24.231.192.48		584
24.240.178.75		386
24.243.154.181		427
24.244.133.105		410
24.251.135.75		424
24.252.58.36		311
25.24.45.107		264
25.25.161.56		397
25.27.15.222		308
25.27.51.107		333
25.30.9.85		395
25.41.3.166		476
25.47.186.88		387
25.50.153.252		302
25.53.23.102		346
25.54.67.62		285
25.60.97.205		421
25.62.204.79		287
25.63.237.163		362
25.65.84.173		321
25.65.177.103		326
25.69.125.85		282
25.75.216.39		250
25.86.180.167		407
25.95.32.31		267
25.96.60.114		378
25.96.156.138		352
25.101.175.217		366
25.103.204.233		344
25.113.43.192		425
25.116.117.235		492
25.116.248.143		291
25.119.108.92		434
25.120.147.213		417
25.131.23.193		328
25.134.217.11		329
25.140.124.10		412
25.140.165.105		422
25.143.69.18		475
25.143.167.146		376
25.147.148.29		368
25.150.113.100		473
25.155.159.201		276
25.169.167.41		486
25.182.185.44		407
25.187.139.207		461
25.188.233.146		329
25.190.107.194		149
25.192.14.241		460
25.193.72.248		196
25.195.228.45		371
25.210.189.65		536
25.213.89.160		422
25.216.134.222		522
25.219.115.152		275
25.220.135.36		464
25.224.100.65		369
25.229.122.74		631
25.231.80.104		344
25.231.198.141		399
25.233.21.134		519
25.236.158.14		325
25.239.207.55		290
25.243.120.91		386
25.245.70.38		313
25.250.241.155		405
26.2.245.147		453
26.3.160.38		323
26.4.108.209		493
26.18.48.89		294
26.23.159.157		420
26.30.205.88		356
26.31.63.241		485
26.35.6.243		364
26.35.24.149		288
26.56.63.120		221
26.59.10.59		325
26.64.85.251		343
26.69.33.207		406
26.69.144.202		445
26.73.188.161		417
26.75.155.117		340
26.79.168.1		378
26.82.63.217		394
26.87.185.104		343
26.93.204.89		392
26.95.3.17		385
26.95.114.250		350
26.99.103.44		342
26.100.139.204		347
26.104.170.32		194
26.109.133.98		163
26.125.32.179		391
26.127.64.110		365
26.128.70.140		375
26.129.51.33		464
26.134.1.115		244
26.143.218.153		367
26.145.156.23		367
26.147.249.11		297
26.160.181.119		434
26.162.1.11		386
26.174.238.70		569
26.176.81.136		272
26.178.183.179		360
26.188.85.247		397
26.191.130.196		253
26.193.172.185		361
26.202.74.194		521
